org/bukkit/Note.Tone.html#A,1.12.2
org/bukkit/conversations/Conversation.html#abandon,1.12.2
org/bukkit/conversations/Conversable.html#abandonConversation,1.12.2
org/bukkit/conversations/Conversation.ConversationState.html#ABANDONED,1.12.2
org/bukkit/loot/LootTables.html#ABANDONED_MINESHAFT,1.13
org/bukkit/conversations/Conversation.html#abandonedListeners,1.12.2
org/bukkit/conversations/ConversationFactory.html#abandonedListeners,1.12.2
co/aikar/timings/NullTimingHandler.html#abort,1.12.2
co/aikar/timings/Timing.html#abort,1.12.2
co/aikar/timings/FullServerTickHandler.html#abort,1.16
org/bukkit/event/entity/EntityDamageEvent.DamageModifier.html#ABSORPTION,1.12.2
io/papermc/paper/registry/keys/MobEffectKeys.html#ABSORPTION,1.20.6
org/bukkit/potion/PotionEffectType.html#ABSORPTION,1.12.2
com/destroystokyo/paper/entity/ai/VanillaGoal.html#ABSTRACT_SKELETON_MELEE,1.20.4
org/bukkit/entity/AbstractArrow.html,1.14
org/bukkit/entity/AbstractArrow.PickupRule.html,1.14
org/bukkit/entity/AbstractArrow.PickupStatus.html,1.14
io/papermc/paper/event/player/AbstractChatEvent.html,1.16
org/bukkit/entity/AbstractHorse.html,1.12.2
org/bukkit/inventory/AbstractHorseInventory.html,1.12.2
org/bukkit/entity/AbstractSkeleton.html,1.17
org/bukkit/entity/AbstractVillager.html,1.14
org/bukkit/entity/AbstractWindCharge.html,1.20.6
org/bukkit/entity/Boat.Type.html#ACACIA,1.19
org/bukkit/TreeSpecies.html#ACACIA,1.12.2
org/bukkit/TreeType.html#ACACIA,1.12.2
org/bukkit/entity/EntityType.html#ACACIA_BOAT,1.21.3
org/bukkit/Material.html#ACACIA_BOAT,1.13
io/papermc/paper/registry/keys/ItemTypeKeys.html#ACACIA_BOAT,1.21.1
org/bukkit/inventory/ItemType.html#ACACIA_BOAT,1.20.6
org/bukkit/Material.html#ACACIA_BUTTON,1.13
io/papermc/paper/registry/keys/BlockTypeKeys.html#ACACIA_BUTTON,1.21.1
io/papermc/paper/registry/keys/ItemTypeKeys.html#ACACIA_BUTTON,1.21.1
org/bukkit/block/BlockType.html#ACACIA_BUTTON,1.20.6
org/bukkit/inventory/ItemType.html#ACACIA_BUTTON,1.20.6
org/bukkit/entity/EntityType.html#ACACIA_CHEST_BOAT,1.21.3
org/bukkit/Material.html#ACACIA_CHEST_BOAT,1.19
io/papermc/paper/registry/keys/ItemTypeKeys.html#ACACIA_CHEST_BOAT,1.21.1
org/bukkit/inventory/ItemType.html#ACACIA_CHEST_BOAT,1.20.6
org/bukkit/Material.html#ACACIA_DOOR,1.12.2
io/papermc/paper/registry/keys/BlockTypeKeys.html#ACACIA_DOOR,1.21.1
io/papermc/paper/registry/keys/ItemTypeKeys.html#ACACIA_DOOR,1.21.1
org/bukkit/block/BlockType.html#ACACIA_DOOR,1.20.6
org/bukkit/inventory/ItemType.html#ACACIA_DOOR,1.20.6
org/bukkit/Material.html#ACACIA_FENCE,1.12.2
io/papermc/paper/registry/keys/BlockTypeKeys.html#ACACIA_FENCE,1.21.1
io/papermc/paper/registry/keys/ItemTypeKeys.html#ACACIA_FENCE,1.21.1
org/bukkit/block/BlockType.html#ACACIA_FENCE,1.20.6
org/bukkit/inventory/ItemType.html#ACACIA_FENCE,1.20.6
org/bukkit/Material.html#ACACIA_FENCE_GATE,1.12.2
io/papermc/paper/registry/keys/BlockTypeKeys.html#ACACIA_FENCE_GATE,1.21.1
io/papermc/paper/registry/keys/ItemTypeKeys.html#ACACIA_FENCE_GATE,1.21.1
org/bukkit/block/BlockType.html#ACACIA_FENCE_GATE,1.20.6
org/bukkit/inventory/ItemType.html#ACACIA_FENCE_GATE,1.20.6
org/bukkit/Material.html#ACACIA_HANGING_SIGN,1.19
io/papermc/paper/registry/keys/BlockTypeKeys.html#ACACIA_HANGING_SIGN,1.21.1
io/papermc/paper/registry/keys/ItemTypeKeys.html#ACACIA_HANGING_SIGN,1.21.1
org/bukkit/block/BlockType.html#ACACIA_HANGING_SIGN,1.20.6
org/bukkit/inventory/ItemType.html#ACACIA_HANGING_SIGN,1.20.6
org/bukkit/Material.html#ACACIA_LEAVES,1.13
io/papermc/paper/registry/keys/BlockTypeKeys.html#ACACIA_LEAVES,1.21.1
io/papermc/paper/registry/keys/ItemTypeKeys.html#ACACIA_LEAVES,1.21.1
org/bukkit/block/BlockType.html#ACACIA_LEAVES,1.20.6
org/bukkit/inventory/ItemType.html#ACACIA_LEAVES,1.20.6
org/bukkit/Material.html#ACACIA_LOG,1.13
io/papermc/paper/registry/keys/BlockTypeKeys.html#ACACIA_LOG,1.21.1
io/papermc/paper/registry/keys/ItemTypeKeys.html#ACACIA_LOG,1.21.1
org/bukkit/block/BlockType.html#ACACIA_LOG,1.20.6
org/bukkit/inventory/ItemType.html#ACACIA_LOG,1.20.6
io/papermc/paper/registry/keys/tags/BlockTypeTagKeys.html#ACACIA_LOGS,1.21.3
io/papermc/paper/registry/keys/tags/ItemTypeTagKeys.html#ACACIA_LOGS,1.21.1
org/bukkit/Tag.html#ACACIA_LOGS,1.13
org/bukkit/Material.html#ACACIA_PLANKS,1.13
io/papermc/paper/registry/keys/BlockTypeKeys.html#ACACIA_PLANKS,1.21.1
io/papermc/paper/registry/keys/ItemTypeKeys.html#ACACIA_PLANKS,1.21.1
org/bukkit/block/BlockType.html#ACACIA_PLANKS,1.20.6
org/bukkit/inventory/ItemType.html#ACACIA_PLANKS,1.20.6
org/bukkit/Material.html#ACACIA_PRESSURE_PLATE,1.13
io/papermc/paper/registry/keys/BlockTypeKeys.html#ACACIA_PRESSURE_PLATE,1.21.1
io/papermc/paper/registry/keys/ItemTypeKeys.html#ACACIA_PRESSURE_PLATE,1.21.1
org/bukkit/block/BlockType.html#ACACIA_PRESSURE_PLATE,1.20.6
org/bukkit/inventory/ItemType.html#ACACIA_PRESSURE_PLATE,1.20.6
org/bukkit/Material.html#ACACIA_SAPLING,1.13
io/papermc/paper/registry/keys/BlockTypeKeys.html#ACACIA_SAPLING,1.21.1
io/papermc/paper/registry/keys/ItemTypeKeys.html#ACACIA_SAPLING,1.21.1
org/bukkit/block/BlockType.html#ACACIA_SAPLING,1.20.6
org/bukkit/inventory/ItemType.html#ACACIA_SAPLING,1.20.6
org/bukkit/Material.html#ACACIA_SIGN,1.14
io/papermc/paper/registry/keys/BlockTypeKeys.html#ACACIA_SIGN,1.21.1
io/papermc/paper/registry/keys/ItemTypeKeys.html#ACACIA_SIGN,1.21.1
org/bukkit/block/BlockType.html#ACACIA_SIGN,1.20.6
org/bukkit/inventory/ItemType.html#ACACIA_SIGN,1.20.6
org/bukkit/Material.html#ACACIA_SLAB,1.13
io/papermc/paper/registry/keys/BlockTypeKeys.html#ACACIA_SLAB,1.21.1
io/papermc/paper/registry/keys/ItemTypeKeys.html#ACACIA_SLAB,1.21.1
org/bukkit/block/BlockType.html#ACACIA_SLAB,1.20.6
org/bukkit/inventory/ItemType.html#ACACIA_SLAB,1.20.6
org/bukkit/Material.html#ACACIA_STAIRS,1.12.2
io/papermc/paper/registry/keys/BlockTypeKeys.html#ACACIA_STAIRS,1.21.1
io/papermc/paper/registry/keys/ItemTypeKeys.html#ACACIA_STAIRS,1.21.1
org/bukkit/block/BlockType.html#ACACIA_STAIRS,1.20.6
org/bukkit/inventory/ItemType.html#ACACIA_STAIRS,1.20.6
org/bukkit/Material.html#ACACIA_TRAPDOOR,1.13
io/papermc/paper/registry/keys/BlockTypeKeys.html#ACACIA_TRAPDOOR,1.21.1
io/papermc/paper/registry/keys/ItemTypeKeys.html#ACACIA_TRAPDOOR,1.21.1
org/bukkit/block/BlockType.html#ACACIA_TRAPDOOR,1.20.6
org/bukkit/inventory/ItemType.html#ACACIA_TRAPDOOR,1.20.6
org/bukkit/Material.html#ACACIA_WALL_HANGING_SIGN,1.19
